GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
1710,3,CollgCr,208500
1262,3,Veenker,181500
1786,3,CollgCr,223500
1717,3,Crawfor,140000
2198,4,NoRidge,250000
1362,1,Mitchel,143000
1694,3,Somerst,307000
2090,3,NWAmes,200000
1774,2,OldTown,129900
1077,2,BrkSide,118000
1040,3,Sawyer,129500
2324,4,NridgHt,345000
912,2,Sawyer,144000
1494,3,CollgCr,279500
1253,2,NAmes,157000
854,2,BrkSide,132000
1004,2,NAmes,149000
1296,2,Sawyer,90000
1114,3,SawyerW,159000
1339,3,NAmes,139000
2376,4,NridgHt,325300
1108,3,IDOTRR,139400
1795,3,CollgCr,230000
1060,3,MeadowV,129900
1060,3,Sawyer,154000
1600,3,NridgHt,256300
900,3,NAmes,134800
1704,3,NridgHt,306000
1600,2,NAmes,207500
520,1,BrkSide,68500
1317,3,IDOTRR,40000
1228,3,Sawyer,149350
1234,3,CollgCr,179900
1700,4,NAmes,165500
1561,2,NridgHt,277500
2452,4,NridgHt,309000
1097,3,CollgCr,145000
1297,3,NAmes,153000
1057,3,NAmes,109000
1152,2,Edwards,82000
1324,3,NAmes,160000
1328,2,Timber,170000
884,2,SawyerW,144000
938,3,CollgCr,130250
1150,3,NAmes,141000
1752,2,NridgHt,319900
2149,1,Mitchel,239686
1656,3,Somerst,249700
1452,2,OldTown,113000
955,3,Sawyer,127000
1470,3,Gilbert,177000
1176,3,BrkSide,114500
816,2,IDOTRR,110000
1842,0,Veenker,385000
1360,3,NAmes,130000
1425,3,NAmes,180500
1739,3,Somerst,172500
1720,3,CollgCr,196500
2945,3,StoneBr,438780
780,2,CollgCr,124900
1158,3,SawyerW,158000
1111,3,IDOTRR,101000
1370,2,NridgHt,202500
1710,3,OldTown,140000
2034,3,CollgCr,219500
2473,4,NridgHt,317000
2207,3,NAmes,180000
1479,3,CollgCr,226000
747,2,OldTown,80000
2287,3,ClearCr,225000
2223,3,NAmes,244000
845,2,Mitchel,129500
1718,3,Gilbert,185000
1086,3,NAmes,144900
1605,3,OldTown,107400
988,2,MeadowV,91000
952,2,NAmes,135750
1285,2,BrkSide,127000
1768,4,Sawyer,136500
1230,2,OldTown,110000
2142,4,NAmes,193500
1337,2,Mitchel,153500
1563,3,Somerst,245000
1065,3,NAmes,126500
1474,3,Gilbert,168500
2417,4,NoRidge,260000
1560,3,Gilbert,174000
1224,2,Somerst,164500
1526,2,IDOTRR,85000
990,3,CollgCr,123600
1040,2,NAmes,109900
1235,2,NAmes,98600
964,2,Crawfor,163500
2291,4,OldTown,133900
1786,3,CollgCr,204750
1470,3,Gilbert,185000
1588,3,CollgCr,214000
960,3,Edwards,94750
835,2,Edwards,83000
1225,3,NAmes,128950
1610,3,NWAmes,205000
1732,3,SawyerW,178000
1535,4,SawyerW,118964
1226,3,CollgCr,198900
1818,4,IDOTRR,169500
1992,3,Somerst,250000
1047,2,OldTown,100000
789,2,OldTown,115000
1517,3,IDOTRR,115000
1844,3,NWAmes,190000
1855,4,Edwards,136900
1430,3,Gilbert,180000
2696,4,CollgCr,383970
2259,3,Crawfor,217000
2320,3,Crawfor,259500
1458,2,Somerst,176000
1092,3,Sawyer,139000
1125,2,Edwards,155000
3222,5,SawyerW,320000
1456,3,CollgCr,163990
988,1,ClearCr,180000
1123,3,IDOTRR,100000
1080,3,NAmes,136000
1199,2,SawyerW,153900
1586,3,NWAmes,181000
754,2,IDOTRR,84500
958,2,NPkVill,128000
840,3,OldTown,87000
1348,3,NAmes,155000
1053,3,NAmes,150000
2157,4,NAmes,226000
2054,3,Gilbert,244000
1327,3,NAmes,150750
1296,2,Timber,220000
1721,3,Sawyer,180000
1682,3,NWAmes,174000
1214,3,NAmes,143000
1959,5,Mitchel,171000
1852,3,CollgCr,230000
1764,3,CollgCr,231500
864,3,NAmes,115000
1734,3,CollgCr,260000
1385,4,NAmes,166000
1501,3,CollgCr,204000
1728,6,Sawyer,125000
1709,3,Edwards,130000
875,2,BrkSide,105000
2035,3,Gilbert,222500
1080,3,SawyerW,141000
1344,3,BrkSide,115000
969,3,CollgCr,122000
1710,2,NridgHt,372402
1993,4,NWAmes,190000
1252,1,ClearCr,235000
1200,4,OldTown,125000
1096,2,Edwards,79000
1040,2,NAmes,109500
1968,4,Timber,269500
1947,3,Somerst,254900
2462,4,Gilbert,320000
1232,3,Veenker,162500
2668,3,NridgHt,412500
1541,3,NridgHt,220000
882,1,OldTown,103200
1616,3,OldTown,152000
1355,4,Edwards,127500
1867,2,ClearCr,190000
2161,3,NridgHt,325624
1720,3,Gilbert,183500
1707,2,Timber,228000
1382,2,OldTown,128500
1656,3,NAmes,215000
1767,2,StoneBr,239000
1362,3,NAmes,163000
1651,3,Timber,184000
2158,4,Edwards,243000
2060,4,ClearCr,211000
1920,4,Sawyer,172500
2234,1,StoneBr,501837
968,2,OldTown,100000
1525,3,Somerst,177000
1802,4,Crawfor,200100
1340,3,Edwards,120000
2082,3,OldTown,200000
1252,3,BrkSide,127000
3608,4,OldTown,475000
1217,3,Mitchel,173000
1656,3,OldTown,135000
1224,2,SawyerW,153337
1593,0,StoneBr,286000
2727,3,Crawfor,315000
1479,4,NAmes,184000
1431,3,CollgCr,192000
1709,3,Edwards,130000
864,3,CollgCr,127000
1456,3,NPkVill,148500
1726,3,Somerst,311872
3112,4,NAmes,235000
2229,5,OldTown,104000
1713,3,NridgHt,274900
1121,2,Edwards,140000
1279,3,Mitchel,171500
1310,2,OldTown,112000
848,1,CollgCr,149000
