GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
1068,3,Sawyer,154500
2622,3,NoRidge,325000
1028,2,OldTown,115000
1664,3,BrkSide,159000
1620,2,Timber,315500
630,1,MeadowV,75500
1954,3,Crawfor,311500
1456,3,NPkVill,146000
630,1,MeadowV,84500
1393,3,Edwards,135500
1477,3,SWISU,145000
874,3,Mitchel,130000
894,2,IDOTRR,81000
1535,3,NridgHt,214000
1690,3,Gilbert,181000
1008,2,NAmes,134500
1720,3,Gilbert,183500
1134,2,NAmes,135000
1012,2,IDOTRR,118400
1479,3,CollgCr,226000
1803,3,Sawyer,155000
1590,3,Somerst,210000
1476,3,CollgCr,173500
936,2,NAmes,129000
1431,3,CollgCr,192000
1199,2,SawyerW,153900
1340,3,Gilbert,181134
864,2,Gilbert,141000
1604,3,Gilbert,181000
1352,2,Somerst,208900
1252,3,BrkSide,127000
2046,3,NridgHt,284000
3086,3,ClearCr,200500
952,2,NAmes,135750
1636,3,Somerst,255000
1136,3,NAmes,140000
1904,3,NAmes,138000
1928,4,CollgCr,219500
2520,5,NoRidge,310000
882,2,OldTown,97000
1176,3,BrkSide,114500
2110,3,SawyerW,205000
950,3,NAmes,119500
2042,3,NridgHt,253293
988,3,Sawyer,128500
2210,5,OldTown,117500
912,2,NAmes,115000
955,3,Sawyer,127000
2296,3,NridgHt,451950
1524,3,NAmes,144000
988,3,NAmes,119000
1567,2,Mitchel,196000
1304,3,MeadowV,115000
2898,2,Timber,287000
848,1,CollgCr,144500
1734,3,CollgCr,260000
1775,3,SawyerW,213000
1126,3,NWAmes,175000
1117,3,Edwards,107000
827,2,NAmes,107500
520,1,BrkSide,68500
1246,3,NAmes,154000
2473,4,NridgHt,317000
1506,2,Somerst,264132
1776,3,Timber,283463
2158,4,Edwards,243000
1034,2,OldTown,109000
2262,4,Timber,305000
974,3,Mitchel,93500
1458,2,Somerst,176000
1535,4,SawyerW,118858
1211,3,Sawyer,134000
907,3,NAmes,109008
1040,2,NAmes,93500
2364,2,NridgHt,611657
1291,2,ClearCr,173000
2392,3,NoRidge,348000
2418,3,NoRidge,341000
1150,3,NAmes,141000
780,2,CollgCr,124900
987,2,BrDale,118000
1077,2,IDOTRR,67000
988,2,Mitchel,113000
886,2,OldTown,91300
1400,3,Sawyer,149500
1573,3,BrkSide,133000
1939,3,Somerst,266000
1453,2,ClearCr,190000
848,1,CollgCr,155900
1456,3,CollgCr,155835
1559,2,OldTown,153500
1620,4,NWAmes,152000
816,2,Mitchel,124500
2730,4,SawyerW,301000
1768,4,Sawyer,136500
1316,3,Gilbert,169990
1548,3,BrkSide,205000
1452,3,Somerst,183900
1498,2,CollgCr,204900
2353,4,NWAmes,260000
1657,3,NAmes,163500
1768,3,CollgCr,224900
2223,3,NAmes,244000
854,2,BrkSide,132000
1432,2,Veenker,194000
1478,3,NAmes,156500
1026,3,NAmes,156000
1742,2,StoneBr,275000
990,3,CollgCr,145000
2080,5,NAmes,135000
800,1,BrkSide,60000
1040,3,CollgCr,124000
1040,3,Sawyer,127000
1513,4,BrkSide,137500
1797,3,CollgCr,213500
804,2,OldTown,119000
901,2,OldTown,107900
872,3,NAmes,123000
1902,4,Sawyer,112000
1629,3,NridgHt,284000
767,1,NAmes,133000
848,1,CollgCr,149000
1600,3,Gilbert,169000
1848,4,BrkSide,207000
1412,3,Timber,175000
935,3,Sawyer,137000
2256,4,Gilbert,236000
935,2,BrkSide,79500
1099,3,CollgCr,144000
1664,4,NWAmes,162900
1582,3,CollgCr,185900
2028,2,Timber,369900
1779,3,CollgCr,197900
2229,5,OldTown,104000
480,1,IDOTRR,35311
1718,3,NridgHt,337500
1702,1,NridgHt,367294
938,3,CollgCr,130250
1654,3,CollgCr,230000
4316,4,NoRidge,755000
2794,4,NoRidge,403000
928,2,NAmes,132000
1732,3,SawyerW,178000
1694,4,SWISU,136500
1056,3,Gilbert,145000
900,3,NAmes,123000
2057,3,Crawfor,250000
1430,3,CollgCr,187100
768,2,CollgCr,133900
864,2,Edwards,67000
1180,2,Crawfor,137500
1348,3,NAmes,155000
2515,4,Crawfor,200624
2274,5,NAmes,154300
1077,3,IDOTRR,91000
1792,4,NAmes,136000
1258,0,Sawyer,108959
1375,2,NAmes,140000
605,2,Edwards,86000
1144,3,Sawyer,131400
1234,3,CollgCr,179900
1056,0,OldTown,144000
1646,3,Timber,293077
1526,4,Edwards,144500
1216,2,NAmes,118500
1800,6,NAmes,141000
1950,3,Somerst,239000
2574,3,CollgCr,276000
2868,4,StoneBr,556581
2403,4,ClearCr,244400
1944,3,NridgHt,360000
882,1,OldTown,103200
1522,4,SWISU,102000
1556,3,Blueste,151000
2872,4,NoRidge,285000
1588,4,ClearCr,134432
1487,3,Edwards,113000
1717,3,Timber,187500
1360,2,IDOTRR,125500
1573,3,Somerst,177500
1265,3,NAmes,179900
1044,2,IDOTRR,55993
954,3,CollgCr,132500
1389,3,OldTown,135000
1989,3,CollgCr,255000
1710,3,OldTown,140000
1689,3,Mitchel,271000
1500,2,Blmngtn,246578
1368,2,NridgHt,202500
1092,3,MeadowV,75000
1365,2,BrDale,122500
1073,2,OldTown,108480
1308,2,Crawfor,160000
1118,3,Mitchel,171000
1306,1,NridgHt,196000
2008,3,Edwards,225000
1247,1,Somerst,197000
1317,3,IDOTRR,40000
1739,3,Somerst,172500
1343,3,Crawfor,154900
1533,2,ClearCr,280000
1446,3,Gilbert,175000
1344,3,IDOTRR,147000
2630,4,NoRidge,315000
1337,3,CollgCr,185000
980,3,NAmes,135500
2020,3,SawyerW,239500
1121,3,Sawyer,139000
1595,2,SWISU,140000
892,3,NAmes,110000
2243,4,SawyerW,225000
1285,3,Sawyer,143500
1225,3,NAmes,128950
1471,3,Somerst,172500
1363,2,ClearCr,241500
1566,3,Somerst,262500
1402,2,Blmngtn,194201
1144,3,NAmes,143000
1352,3,ClearCr,130000
1734,4,Mitchel,126000
894,3,Sawyer,142500
1324,2,NridgHt,254000
1647,3,Crawfor,217500
1131,3,OldTown,66500
1466,3,Timber,201000
1215,3,NAmes,155000
1128,2,IDOTRR,68400
968,4,OldTown,64500
1632,4,NWAmes,173000
1178,2,IDOTRR,102776
930,2,Edwards,84900
1501,3,Gilbert,165600
864,2,NAmes,120000
1229,3,Edwards,135000
1915,3,SawyerW,220000
1396,3,BrkSide,153575
1208,2,CollgCr,195400
996,2,SawyerW,147000
2062,3,SawyerW,277000
923,2,SawyerW,143000
720,2,OldTown,105900
2978,5,NAmes,242000
1744,3,SawyerW,194500
2945,3,StoneBr,438780
1876,4,NWAmes,185000
1347,3,Edwards,107500
1431,3,NAmes,165000
1137,2,Timber,176000
1060,3,MeadowV,129900
789,2,OldTown,115000
1838,4,Gilbert,192140
1472,3,Gilbert,160000
1505,3,BrkSide,145000
691,2,OldTown,86000
1159,3,Sawyer,158000
1069,2,NPkVill,127500
1224,3,OldTown,115000
1302,3,BrDale,119500
1603,3,SawyerW,175900
2090,3,CollgCr,240000
1973,3,NridgHt,395000
1208,3,Veenker,165000
894,3,CollgCr,128200
1644,2,SawyerW,275000
1726,3,Somerst,311872
1933,4,Somerst,214000
1337,2,Mitchel,153500
848,1,CollgCr,144000
1005,2,NAmes,115000
1430,3,Gilbert,180000
2076,2,NridgHt,465000
1337,2,StoneBr,180000
1971,3,Somerst,253000
1112,3,MeadowV,85000
1224,2,NAmes,101800
1002,3,NAmes,148500
1709,3,Edwards,137500
1869,2,NridgHt,318061
1473,1,ClearCr,143000
1558,3,NAmes,140000
1776,3,CollgCr,192500
630,1,MeadowV,92000
1576,3,Somerst,197000
792,2,OldTown,109500
1718,3,CollgCr,297000
1489,3,NWAmes,185750
1840,3,CollgCr,230000
1131,2,OldTown,89471
1530,3,StoneBr,260000
1456,3,CollgCr,189000
1510,4,Edwards,108000
864,3,NAmes,124500
1314,3,NAmes,145000
1571,3,Gilbert,178000
796,2,Edwards,85000
1768,3,SWISU,175000
1691,3,SWISU,127000
894,3,CollgCr,149900
1560,3,Gilbert,174000
1154,3,IDOTRR,125500
1422,3,NWAmes,175500
1496,3,Somerst,225000
913,3,Sawyer,129000
1086,3,NAmes,159950
1601,3,NWAmes,157000
1986,3,NAmes,205000
1164,3,NWAmes,140000
2267,4,Gilbert,200000
2259,3,Crawfor,217000
825,2,OldTown,125000
1426,3,Edwards,159500
1651,3,Timber,184000
789,2,Crawfor,96500
2634,6,NAmes,200000
1576,3,BrkSide,149000
1484,3,Gilbert,178900
1200,2,SawyerW,184900
1250,2,Somerst,164700
1902,3,Crawfor,335000
1040,2,NAmes,87500
1502,3,NridgHt,233170
1228,3,Sawyer,149350
1268,3,NAmes,133000
864,2,Edwards,98000
1686,3,NWAmes,207500
1620,3,Sawyer,150000
858,2,Sawyer,134900
1301,2,Somerst,187750
1505,2,NAmes,149500
864,3,NAmes,116050
1224,2,SawyerW,153337
1383,3,Sawyer,165000
816,3,Mitchel,130500
1344,2,Mitchel,206300
1392,2,Somerst,146000
1065,3,NAmes,126500
1250,3,Crawfor,139000
1452,2,OldTown,113000
1096,2,Edwards,79000
1428,3,Somerst,182000
1658,3,Gilbert,188000
864,3,NAmes,129000
1928,5,SWISU,160000
1537,3,NAmes,174000
1863,4,Gilbert,219210
2007,3,Somerst,310000
1792,2,NridgHt,374000
968,2,OldTown,100000
2654,4,NWAmes,250000
960,0,Sawyer,145000
2775,3,OldTown,325000
2643,3,NridgHt,380000
1646,2,Crawfor,275000
1298,3,SawyerW,180000
1694,3,CollgCr,245350
958,2,NAmes,151500
999,3,NAmes,134500
1020,2,Sawyer,94000
1674,3,Somerst,216000
2113,2,NoRidge,350000
2030,4,NWAmes,195000
1217,3,SawyerW,120000
2169,3,CollgCr,228500
1850,3,NoRidge,248000
1144,3,NAmes,124000
1504,2,Blmngtn,191000
1309,3,NWAmes,181000
1258,2,Edwards,105000
1422,3,NAmes,139900
1442,4,NAmes,157900
1200,3,Edwards,130500
1664,3,Gilbert,172400
1360,3,NAmes,130000
1414,3,Gilbert,178000
1342,3,NWAmes,161500
1118,3,OldTown,119900
2345,4,Crawfor,239000
1844,3,NWAmes,190000
987,2,BrDale,85400
1610,3,NWAmes,205000
1080,3,Mitchel,134000
1622,3,Mitchel,168000
1511,3,Gilbert,185000
1152,3,NAmes,180500
1558,4,IDOTRR,152000
1911,3,SawyerW,215000
1306,2,NAmes,153000
2138,2,OldTown,106000
2466,4,Somerst,340000
1734,3,NAmes,159000
1158,3,BrkSide,120000
1771,3,Mitchel,115000
958,2,NPkVill,128000
1828,3,NridgHt,314813
1716,3,Edwards,131000
2713,3,NridgHt,446261
1367,3,BrkSide,127500
1826,4,OldTown,155000
1200,3,CollgCr,177500
1382,2,OldTown,128500
1456,3,Gilbert,176000
2448,4,NoRidge,402000
1964,4,SWISU,130000
1092,3,NAmes,145000
1113,3,NAmes,147000
864,3,NAmes,115000
1804,3,Gilbert,189000
1632,4,Mitchel,143000
2614,4,NWAmes,240000
1314,2,NridgHt,230000
1923,3,NoRidge,190000
1484,3,CollgCr,213000
708,2,BrkSide,82500
1713,3,NridgHt,274900
1269,3,NAmes,155000
2097,1,Somerst,423000
864,3,CollgCr,128500
2184,3,NridgHt,335000
1624,2,NoRidge,262000
1040,3,Sawyer,129500
2035,3,Gilbert,222500
1494,2,Veenker,270000
1314,2,NridgHt,207500
1743,3,NWAmes,175000
2127,4,SawyerW,238000
1716,6,SWISU,135900
1358,2,NridgHt,224000
1430,3,Gilbert,170000
1221,2,Somerst,185000
2094,4,Somerst,263000
864,3,Sawyer,62383
1053,3,NAmes,150000
1701,3,Sawyer,171000
1056,3,NAmes,139000
1163,3,OldTown,126175
1665,3,Somerst,205950
1196,3,Edwards,110000
3140,4,NridgHt,485000
1682,3,NWAmes,174000
1072,2,Edwards,145000
1547,3,Somerst,215200
1905,3,Somerst,320000
1661,3,CollgCr,212000
1350,3,NAmes,168500
1845,3,SawyerW,189000
1601,3,Sawyer,140000
1498,3,Gilbert,187500
1947,3,Somerst,254900
1098,3,NAmes,135000
1054,3,NAmes,151000
928,3,OldTown,112500
1820,4,BrkSide,184000
3082,5,SWISU,197000
1788,5,ClearCr,161500
1022,2,OldTown,85000
1274,3,CollgCr,203000
2504,4,StoneBr,325000
2153,3,CollgCr,313000
2031,3,CollgCr,237000
1824,3,BrkSide,180500
1008,2,NAmes,137000
694,2,Crawfor,90350
1728,4,Mitchel,150900
1588,3,CollgCr,214000
1392,3,Sawyer,121500
4476,4,NoRidge,745000
1969,3,NWAmes,190000
1504,1,Blmngtn,181000
1276,3,Edwards,60000
1800,2,CollgCr,239000
816,3,Edwards,118500
1040,2,NAmes,109500
924,3,CollgCr,110000
832,2,NAmes,105500
1886,4,Gilbert,199900
2196,3,SawyerW,271900
1039,3,Sawyer,131500
1271,4,Sawyer,135000
1367,4,Edwards,119000
2093,3,NWAmes,215000
864,3,CollgCr,133500
2447,4,SWISU,169000
1054,3,NAmes,137500
1120,3,Mitchel,147000
1616,3,Somerst,232000
1073,3,NAmes,156000
1389,2,Mitchel,170000
861,1,Edwards,82500
1135,3,SWISU,155000
2828,4,CollgCr,424870
1616,2,StoneBr,236500
1437,3,Veenker,218000
1630,3,CollgCr,213000
1800,3,Timber,312500
1855,3,Veenker,187000
1675,3,Gilbert,181000
2084,4,SawyerW,233000
1111,3,Edwards,95000
729,2,BrkSide,52000
1586,3,NWAmes,181000
2234,1,StoneBr,501837
858,3,NAmes,88000
833,3,Mitchel,112000
1283,3,NAmes,140000
1644,3,NAmes,167000
1383,3,NAmes,145250
2073,3,NWAmes,210000
1539,3,OldTown,157500
1552,3,CollgCr,212900
925,2,NAmes,117500
1414,3,CollgCr,185500
1526,2,IDOTRR,85000
1712,4,NAmes,145000
1717,3,NridgHt,255500
1750,3,OldTown,124000
1176,2,BrkSide,134900
1936,3,Gilbert,230500
858,2,NAmes,110000
1919,3,CollgCr,233230
1762,4,OldTown,157000
